,ID,vaccinated,recovered,infected,dead,curr_location,color,num_infected
153,133,False,False,False,False,"(4, 22)",green,0
154,119,False,False,False,False,"(4, 22)",green,0
155,248,True,True,False,False,"(12, 26)",green,1
156,339,False,False,False,False,"(14, 19)",green,0
157,12,False,False,False,False,"(14, 19)",green,0
158,321,False,False,False,False,"(14, 19)",green,0
159,137,False,False,False,False,"(9, 19)",green,0
160,31,False,False,False,False,"(14, 15)",green,0
161,227,False,False,False,False,"(10, 11)",green,0
162,181,False,False,False,False,"(10, 11)",green,0
163,97,False,False,False,False,"(18, 24)",green,0
164,71,True,True,False,False,"(18, 24)",green,1
165,212,False,False,False,False,"(18, 20)",green,0
166,28,False,False,False,False,"(18, 17)",green,0
167,195,True,True,False,False,"(6, 16)",green,1
168,94,False,False,False,False,"(14, 16)",green,0
169,39,False,False,False,False,"(18, 26)",green,0
170,315,False,False,False,False,"(18, 26)",green,0
171,329,False,False,False,False,"(13, 4)",green,0
172,20,False,False,False,False,"(14, 0)",green,0
173,98,False,False,False,False,"(10, 7)",green,0
174,245,False,False,False,False,"(10, 7)",green,0
175,316,False,False,False,False,"(10, 20)",green,0
176,153,True,True,False,False,"(10, 20)",green,1
177,295,False,False,False,False,"(12, 12)",green,0
178,383,False,False,False,False,"(12, 12)",green,0
179,309,False,False,False,False,"(18, 27)",green,0
180,41,False,False,False,False,"(18, 27)",green,0
181,389,False,False,False,False,"(14, 24)",green,0
182,213,False,False,False,False,"(14, 24)",green,0
183,264,False,False,False,False,"(18, 16)",green,0
184,262,False,False,False,False,"(22, 16)",green,0
185,135,False,False,False,False,"(22, 16)",green,0
186,499,True,True,False,False,"(11, 8)",green,1
187,228,True,True,False,False,"(5, 4)",green,1
188,2,True,False,False,False,"(15, 7)",green,0
189,117,False,False,False,False,"(15, 7)",green,0
190,186,False,False,False,False,"(14, 10)",green,0
191,235,False,False,False,False,"(10, 19)",green,0
192,351,False,False,False,False,"(13, 18)",green,0
193,362,False,False,False,False,"(13, 18)",green,0
194,208,False,False,False,False,"(16, 15)",green,0
195,304,False,False,False,False,"(16, 15)",green,0
196,109,False,False,False,False,"(13, 15)",green,0
